time_ns,mid_V,rload_V,L1_i_A,Vdd_i_A,M1_vds_V,M1_vgs_V,M2_vds_V,M2_vgs_V,M1_id_A,M2_id_A
0.000,33.3910,0.0000,0.0000,-0.0000,39.1090,0.0000,33.3910,0.0000,0.000000,0.000000
1.652,69.0770,0.0674,0.0264,-50.7249,3.4230,8.2605,69.0770,0.0000,113.716576,0.000000
2.169,72.4972,0.2370,0.0929,-0.1332,0.0028,10.0000,72.4972,0.0000,0.186374,0.000000
21.130,72.4786,3.6279,1.4227,-1.4246,0.0214,10.0000,72.4786,0.0000,1.427465,0.000000
29.652,73.2474,2.4818,0.9733,-0.3751,0.7474,0.7474,73.2474,0.0000,0.000000,0.000000
37.641,70.4488,0.2744,0.1076,-0.1405,2.0512,0.0000,70.4488,3.8316,0.000000,2.354596
38.770,5.1619,-0.2499,-0.0980,-41.6864,67.3381,0.0000,5.1619,9.4730,0.000000,188.722376
38.979,0.1477,-0.4346,-0.1704,-0.8628,72.3523,0.0000,0.1477,10.0000,0.000000,9.761539
42.755,0.0213,-3.6706,-1.4394,0.0020,72.4787,0.0000,0.0213,10.0000,0.000000,1.418660
61.839,0.0528,-8.9356,-3.5042,-0.0008,72.4472,0.0000,0.0528,10.0000,0.000000,3.512852
66.250,0.0310,-6.8740,-2.6957,0.1417,72.4690,0.0000,0.0310,0.0000,0.000000,0.000000
72.929,4.9360,-2.1457,-0.8414,0.2892,67.5640,0.0000,4.9360,0.0000,0.000000,0.000000
74.885,7.4084,-0.5719,-0.2243,-21.5852,65.0916,5.6771,7.4084,0.0000,31.426922,0.000000
75.691,71.5020,0.2524,0.0990,-38.7662,0.9980,9.7071,71.5020,0.0000,58.983839,0.000000
76.951,72.4886,1.9663,0.7711,-0.7637,0.0114,10.0000,72.4886,0.0000,0.763057,0.000000
94.589,72.4110,15.0582,5.9052,-5.9027,0.0890,10.0000,72.4110,0.0000,5.908603,0.000000
103.765,68.7641,10.0632,3.9463,-1.5072,3.7359,0.0000,68.7641,0.0000,0.000000,0.000000
111.603,53.2555,0.7241,0.2840,-4.8747,19.2445,0.0000,53.2555,4.8884,0.000000,14.946397
112.442,3.5055,-0.5049,-0.1980,-26.4811,68.9945,0.0000,3.5055,9.0863,0.000000,143.226209
112.673,0.1192,-0.9074,-0.3559,-0.7356,72.3808,0.0000,0.1192,10.0000,0.000000,7.893598
117.178,0.0488,-8.3924,-3.2911,0.0172,72.4512,0.0000,0.0488,10.0000,0.000000,3.251868
134.963,0.1061,-17.8897,-7.0156,0.0119,72.3939,0.0000,0.1061,10.0000,0.000000,7.030881
140.000,0.7932,-13.3910,-5.2514,0.5619,71.7068,0.0000,0.7932,0.0000,0.000000,0.000000
143.513,8.5718,-8.7933,-3.4483,0.8117,63.9282,0.0000,8.5718,0.0000,0.000000,0.000000
148.496,15.3050,-0.9961,-0.3906,-9.9130,57.1950,4.9776,15.3050,0.0000,16.505270,0.000000
149.386,72.2056,0.5981,0.2345,9.4179,0.2944,9.4302,72.2056,0.0000,17.614385,0.000000
150.210,72.4867,2.3145,0.9077,-0.8990,0.0133,10.0000,72.4867,0.0000,0.885406,0.000000
166.146,72.3638,22.9783,9.0111,-9.0105,0.1362,10.0000,72.3638,0.0000,9.007925,0.000000
177.927,63.0525,14.4987,5.6857,-2.1540,9.4475,0.0000,63.0525,0.0000,0.000000,0.000000
185.213,43.8931,1.0195,0.3998,-1.3404,28.6069,0.0000,43.8931,4.1896,0.000000,5.402373
186.125,3.0786,-0.8991,-0.3526,-21.9366,69.4214,0.0000,3.0786,8.7510,0.000000,122.133789
186.436,0.0586,-1.6266,-0.6379,-0.3137,72.4414,0.0000,0.0586,10.0000,0.000000,3.898819
193.624,0.0979,-16.6750,-6.5392,0.0086,72.4021,0.0000,0.0979,10.0000,0.000000,6.495130
210.109,0.1338,-22.5123,-8.8283,0.0016,72.3662,0.0000,0.1338,10.0000,0.000000,8.854909
213.913,1.8208,-17.4470,-6.8420,1.0257,70.6792,0.0000,1.8208,0.0000,0.000000,0.000000
218.150,15.8299,-9.6710,-3.7926,0.9357,56.6701,0.0000,15.8299,0.0000,0.000000,0.000000
222.339,23.7743,-0.6998,-0.2744,-15.9567,48.7257,5.4471,23.7743,0.0000,25.994352,0.000000
223.112,72.3513,1.1237,0.4407,-8.0101,0.1487,9.3082,72.3513,0.0000,8.826418,0.000000
225.072,72.4644,6.1203,2.4001,-2.3891,0.0356,10.0000,72.4644,0.0000,2.374138,0.000000
242.223,72.3313,28.3880,11.1325,-11.1331,0.1687,10.0000,72.3313,0.0000,11.133755,0.000000
252.644,55.4351,15.7312,6.1691,-2.2912,17.0649,0.0000,55.4351,0.0000,0.000000,0.000000
259.364,31.1955,-0.0614,-0.0241,-14.9679,41.3045,0.0000,31.1955,6.1942,0.000000,45.516681
259.905,1.0658,-1.4894,-0.5841,-1.8367,71.4342,0.0000,1.0658,8.9015,0.000000,54.283424
260.269,0.0236,-2.4929,-0.9776,-0.0547,72.4764,0.0000,0.0236,10.0000,0.000000,1.572638
272.659,0.1663,-28.0650,-11.0059,0.0052,72.3337,0.0000,0.1663,10.0000,0.000000,10.979418
285.617,0.1118,-23.8584,-9.3562,-0.1126,72.3882,0.0000,0.1118,9.4154,0.000000,6.769821
287.912,3.2885,-19.8517,-7.7850,1.8090,69.2115,0.0000,3.2885,0.0000,0.000000,0.000000
295.000,26.4738,-3.2731,-1.2836,0.5235,46.0262,0.0000,26.4738,0.0000,0.000000,0.000000
296.522,49.1074,0.6754,0.2648,-60.5215,23.3926,7.6093,49.1074,0.0000,97.385660,0.000000
296.946,72.4292,1.9001,0.7451,-1.6093,0.0708,9.7311,72.4292,0.0000,4.518265,0.000000
302.831,72.3950,17.8108,6.9846,-6.9738,0.1050,10.0000,72.3950,0.0000,6.959316,0.000000
320.633,72.3321,28.2203,11.0668,-11.0714,0.1679,10.0000,72.3321,0.0000,11.077748,0.000000
330.102,37.1699,8.0431,3.1542,-1.1038,35.3301,0.0000,37.1699,0.0000,0.000000,0.000000
333.349,16.1174,-1.0308,-0.4042,-26.3523,56.3826,0.0000,16.1174,7.3719,0.000000,87.325581
333.642,0.8599,-1.9110,-0.7494,-6.8277,71.6401,0.0000,0.8599,8.8366,0.000000,44.116594
334.168,0.0198,-3.5109,-1.3768,0.0034,72.4802,0.0000,0.0198,10.0000,0.000000,1.318351
349.714,0.2000,-33.5998,-13.1764,-0.0013,72.3000,0.0000,0.2000,10.0000,0.000000,13.167625
359.812,0.1478,-25.4349,-9.9745,0.0528,72.3522,0.0000,0.1478,7.1878,0.000000,5.723298
362.159,6.3262,-20.6785,-8.1092,2.1853,66.1738,0.0000,6.3262,0.0000,0.000000,0.000000
369.098,29.4323,-2.3428,-0.9188,1.6942,43.0677,1.7423,29.4323,0.0000,0.000000,0.000000
370.390,64.1163,1.3966,0.5477,-76.5277,8.3837,8.2009,64.1163,0.0000,124.850881,0.000000
370.750,72.4282,2.5384,0.9955,7.4305,0.0718,10.0000,72.4282,0.0000,4.769287,0.000000
379.101,72.3492,25.4461,9.9789,-9.9717,0.1508,10.0000,72.3492,0.0000,9.961766,0.000000
394.563,72.3202,30.1912,11.8397,-11.8464,0.1798,10.0000,72.3202,0.0000,11.855220,0.000000
398.537,63.6068,22.7345,8.9155,-3.3719,8.8932,0.0000,63.6068,0.0000,0.000000,0.000000
406.038,31.7457,1.8649,0.7313,0.4700,40.7543,0.0000,31.7457,2.0639,0.000000,0.000000
407.259,3.5891,-1.8867,-0.7399,-19.3543,68.9109,0.0000,3.5891,8.1711,0.000000,113.210588
407.625,0.0936,-3.0778,-1.2070,4.8735,72.4064,-0.0000,0.0936,10.0000,0.000000,6.207925
411.525,0.0885,-15.1608,-5.9454,0.0093,72.4115,0.0000,0.0885,10.0000,0.000000,5.871644
429.518,0.1994,-33.4036,-13.0995,-0.0008,72.3006,0.0000,0.1994,10.0000,0.000000,13.127796
435.000,2.3438,-24.0043,-9.4135,1.3637,70.1562,0.0000,2.3438,0.0000,0.000000,0.000000
438.277,19.1007,-15.7750,-6.1863,2.4149,53.3993,0.0000,19.1007,0.0000,0.000000,0.000000
443.327,31.1955,-0.8050,-0.3157,-1.7032,41.3045,4.1346,31.1955,0.0000,4.853682,0.000000
444.266,72.2837,2.1497,0.8430,-12.8154,0.2163,8.8279,72.2837,0.0000,11.756280,0.000000
445.809,72.4576,7.2674,2.8500,-2.8396,0.0424,10.0000,72.4576,0.0000,2.824129,0.000000
462.441,72.2785,37.1202,14.5569,-14.5593,0.2215,10.0000,72.2785,0.0000,14.560975,0.000000
471.875,66.3506,24.7987,9.7250,-6.2021,6.1494,0.0000,66.3506,0.0000,0.000000,0.000000
479.696,29.7132,2.0534,0.8052,0.4400,42.7868,0.0000,29.7132,1.6039,0.000000,0.000000
480.968,4.9486,-2.0500,-0.8039,-26.7940,67.5514,0.0000,4.9486,7.9636,0.000000,113.425190
481.272,0.1519,-3.0858,-1.2101,3.0554,72.3481,0.0000,0.1519,9.4862,0.000000,9.279603
482.618,0.0435,-7.6119,-2.9851,0.0102,72.4565,0.0000,0.0435,10.0000,0.000000,2.900069
499.111,0.2254,-37.7669,-14.8106,0.0016,72.2746,0.0000,0.2254,10.0000,0.000000,14.814263
508.007,0.5582,-26.6260,-10.4416,0.6102,71.9418,0.0000,0.5582,3.7139,0.000000,1.623265
510.221,10.4850,-21.2939,-8.3506,2.2378,62.0150,0.0000,10.4850,0.0000,0.000000,0.000000
516.794,32.6747,-1.5341,-0.6016,1.5777,39.8253,2.7216,32.6747,0.0000,0.000000,0.000000
517.939,70.7820,2.1783,0.8542,-26.3973,1.7180,8.4443,70.7820,0.0000,74.403520,0.000000
518.513,72.4762,4.1697,1.6352,-1.6146,0.0238,10.0000,72.4762,0.0000,1.588660,0.000000
532.670,72.2762,37.5324,14.7186,-14.7137,0.2238,10.0000,72.2762,0.0000,14.708057,0.000000
545.226,68.9091,26.5087,10.3956,-3.9457,3.5909,1.9940,68.9091,0.0000,0.000000,0.000000
553.250,28.3190,2.5983,1.0189,0.3643,44.1810,0.0000,28.3190,0.6250,0.000000,0.000000
554.688,5.9899,-2.1958,-0.8611,-25.9594,66.5101,0.0000,5.9899,7.8166,0.000000,106.621880
554.971,0.2148,-3.1870,-1.2498,-3.8434,72.2852,0.0000,0.2148,9.2322,0.000000,12.523785
555.865,0.0357,-6.2977,-2.4697,0.0065,72.4643,0.0000,0.0357,10.0000,0.000000,2.381864
571.986,0.2326,-38.9660,-15.2808,-0.0018,72.2674,0.0000,0.2326,10.0000,0.000000,15.279056
581.482,0.3084,-27.9376,-10.9559,0.1911,72.1916,0.0000,0.3084,5.0917,0.000000,5.408585
583.544,8.4208,-22.9400,-8.9961,2.4593,64.0792,0.0000,8.4208,0.0000,0.000000,0.000000
590.344,33.8536,-2.0758,-0.8141,1.6492,38.6464,1.7180,33.8536,0.0000,0.000000,0.000000
591.628,67.4826,2.1890,0.8584,-74.5401,5.0174,8.1415,67.4826,0.0000,121.940530,0.000000
592.110,72.4674,3.9042,1.5310,-1.8042,0.0326,10.0000,72.4674,0.0000,2.173273,0.000000
602.992,72.2959,34.3062,13.4534,-13.4452,0.2041,10.0000,72.2959,0.0000,13.434438,0.000000
617.375,72.3175,30.6313,12.0123,-12.0199,0.1825,10.0000,72.3175,0.0000,12.030457,0.000000
623.925,34.8689,12.8259,5.0297,-1.7413,37.6311,0.0000,34.8689,0.0000,0.000000,0.000000
628.062,23.2207,-1.0801,-0.4236,-11.6951,49.2793,0.0000,23.2207,5.9327,0.000000,38.067373
628.564,1.1419,-2.8352,-1.1118,-2.1859,71.3581,0.0000,1.1419,8.4432,0.000000,52.641637
629.072,0.0289,-4.6509,-1.8239,-0.0079,72.4711,0.0000,0.0289,10.0000,0.000000,1.925675
643.295,0.2316,-38.8386,-15.2308,0.0039,72.2684,0.0000,0.2316,10.0000,0.000000,15.212310
654.575,0.1457,-29.8953,-11.7237,0.0686,72.3543,0.0000,0.1457,8.3744,0.000000,7.326689
656.402,3.6016,-25.6418,-10.0556,2.2410,68.8984,0.0000,3.6016,0.0000,0.000000,0.000000
662.735,33.3486,-6.5464,-2.5672,0.8688,39.1514,0.0000,33.3486,0.0000,0.000000,0.000000
665.188,51.5489,1.6842,0.6605,-49.4169,20.9511,7.1890,51.5489,0.0000,79.945064,0.000000
665.665,72.4178,3.3954,1.3315,-0.7106,0.0822,9.5753,72.4178,0.0000,5.118226,0.000000
672.512,72.3486,25.5878,10.0344,-10.0212,0.1514,10.0000,72.3486,0.0000,10.005236,0.000000
687.619,72.2786,37.0786,14.5406,-14.5444,0.2214,10.0000,72.2786,0.0000,14.551301,0.000000
694.491,53.7672,22.7903,8.9374,-3.3076,18.7328,0.0000,53.7672,0.0000,0.000000,0.000000
701.555,27.1537,-0.3167,-0.1242,-3.0141,45.3463,0.0000,27.1537,4.6504,0.000000,11.160980
702.275,1.7310,-2.8446,-1.1155,-5.2640,70.7690,0.0000,1.7310,8.2511,0.000000,71.599391
702.698,0.0489,-4.3768,-1.7164,-0.1479,72.4511,0.0000,0.0489,10.0000,0.000000,3.258261
711.802,0.1885,-31.8056,-12.4728,0.0075,72.3115,0.0000,0.1885,10.0000,0.000000,12.419091
728.000,0.1851,-30.9764,-12.1476,-0.0033,72.3149,0.0000,0.1851,10.0000,0.000000,12.200410
730.138,3.6150,-25.9820,-10.1890,2.3152,68.8850,0.0000,3.6150,0.0000,0.000000,0.000000
736.121,32.9648,-7.7849,-3.0529,1.0858,39.5352,0.0000,32.9648,0.0000,0.000000,0.000000
738.959,53.4962,1.8696,0.7332,-52.0353,19.0038,7.2973,53.4962,0.0000,84.274423,0.000000
739.500,72.4205,3.8371,1.5047,-3.6395,0.0795,10.0000,72.4205,0.0000,5.280870,0.000000
748.367,72.3145,31.2157,12.2414,-12.2340,0.1855,10.0000,72.3145,0.0000,12.224526,0.000000
764.875,72.3126,31.4261,12.3240,-12.3333,0.1874,10.0000,72.3126,0.0000,12.346457,0.000000
771.386,33.9186,13.1542,5.1585,-1.7780,38.5814,0.0000,33.9186,0.0000,0.000000,0.000000
775.613,20.5730,-1.4812,-0.5809,-13.8011,51.9270,0.0000,20.5730,6.1913,0.000000,45.432112
776.106,0.6099,-3.2564,-1.2770,-6.6625,71.8901,0.0000,0.6099,8.6538,0.000000,30.944844
776.688,0.0303,-5.3847,-2.1116,0.0067,72.4697,0.0000,0.0303,10.0000,0.000000,2.022370
791.844,0.2416,-40.4649,-15.8686,-0.0009,72.2584,0.0000,0.2416,10.0000,0.000000,15.857234
802.371,0.2027,-29.8635,-11.7112,0.0785,72.2973,0.0000,0.2027,6.8966,0.000000,7.218238
804.416,6.7357,-24.7963,-9.7240,2.4930,65.7643,0.0000,6.7357,0.0000,0.000000,0.000000
811.625,35.3113,-1.7748,-0.6960,1.6051,37.1887,1.8750,35.3113,0.0000,0.000000,0.000000
812.913,70.8255,2.7035,1.0602,-31.5946,1.6745,8.3172,70.8255,0.0000,70.801839,0.000000
813.423,72.4725,4.5839,1.7976,-1.8146,0.0275,10.0000,72.4725,0.0000,1.836313,0.000000
826.937,72.2646,39.4352,15.4648,-15.4626,0.2354,10.0000,72.2646,0.0000,15.459501,0.000000
839.143,72.3079,30.4938,11.9583,-11.7743,0.1921,7.4089,72.3079,0.0000,7.808854,0.000000
842.509,49.6818,21.6420,8.4871,-3.1206,22.8182,0.0000,49.6818,0.0000,0.000000,0.000000
849.041,26.8941,-0.3877,-0.1520,-2.6510,45.6059,0.0000,26.8941,4.5783,0.000000,10.124382
849.809,1.1012,-3.1414,-1.2319,-5.1942,71.3988,0.0000,1.1012,8.4216,0.000000,50.751706
850.222,0.0426,-4.6646,-1.8293,-0.0996,72.4574,0.0000,0.0426,10.0000,0.000000,2.837350
861.586,0.2185,-36.7405,-14.4080,0.0021,72.2815,0.0000,0.2185,10.0000,0.000000,14.368484
875.625,0.1585,-31.2002,-12.2354,-0.0990,72.3415,0.0000,0.1585,9.3728,0.000000,9.499322
877.642,3.7272,-26.3663,-10.3397,2.3662,68.7728,0.0000,3.7272,0.0000,0.000000,0.000000
883.817,34.0119,-7.1537,-2.8054,1.0042,38.4881,0.0000,34.0119,0.0000,0.000000,0.000000
886.458,53.9710,2.0012,0.7848,-51.8493,18.5290,7.2906,53.9710,0.0000,84.004929,0.000000
886.892,72.4151,3.6047,1.4136,-0.0977,0.0849,9.4625,72.4151,0.0000,5.194880,0.000000
893.640,72.3455,26.1106,10.2394,-10.2261,0.1545,10.0000,72.3455,0.0000,10.208422,0.000000
910.647,72.2896,35.2618,13.8282,-13.8343,0.2104,10.0000,72.2896,0.0000,13.842745,0.000000
914.768,62.0127,26.0364,10.2103,-3.8490,10.4873,0.0000,62.0127,0.0000,0.000000,0.000000
922.390,26.9032,1.0031,0.3934,0.5716,45.5968,0.0000,26.9032,2.5773,0.000000,0.000000
923.475,2.9769,-2.8689,-1.1250,-16.7492,69.5231,0.0000,2.9769,7.9988,0.000000,97.775227
923.875,0.0943,-4.3551,-1.7079,-0.5498,72.4057,0.0000,0.0943,10.0000,0.000000,6.254933
927.789,0.1059,-18.1200,-7.1059,0.0101,72.3941,0.0000,0.1059,10.0000,0.000000,7.022781
943.808,0.2397,-40.0686,-15.7132,-0.0002,72.2603,0.0000,0.2397,10.0000,0.000000,15.733902
951.031,2.0817,-27.4277,-10.7560,1.1108,70.4183,0.0000,2.0817,1.0950,0.000000,0.000000
954.113,19.9411,-18.6530,-7.3149,2.3197,52.5589,0.0000,19.9411,0.0000,0.000000,0.000000
959.793,37.1615,0.5611,0.2201,-12.3466,35.3385,5.2146,37.1615,0.0000,21.028561,0.000000
960.534,72.3906,3.2287,1.2662,-7.6682,0.1094,8.9176,72.3906,0.0000,6.099412,0.000000
963.172,72.4248,12.8307,5.0316,-5.0153,0.0752,10.0000,72.4248,0.0000,4.994204,0.000000
980.480,72.2579,40.5098,15.8862,-15.8880,0.2421,10.0000,72.2579,0.0000,15.891161,0.000000
988.125,65.6210,27.2056,10.6689,-4.0710,6.8790,0.0000,65.6210,0.0000,0.000000,0.000000
995.750,26.2338,2.3865,0.9359,0.3876,46.2662,0.0000,26.2338,0.6250,0.000000,0.000000
997.172,5.5789,-2.7007,-1.0591,-25.6898,66.9211,0.0000,5.5789,7.7362,0.000000,102.993570
997.537,0.1260,-4.0605,-1.5924,-0.6383,72.3740,0.0000,0.1260,9.5606,0.000000,7.801254
998.805,0.0500,-8.7274,-3.4225,0.0104,72.4500,0.0000,0.0500,10.0000,0.000000,3.329522
